gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
CTC-459F4.3,ENSG00000267575.7,ENSG00000267575.7:t:27805605-27805811,0.0163;-0.0034;0.1248;-0.1367;0.0043,1.375e-01;4.288e-02;6.572e-01;6.673e-01;4.479e-02,3.049e-01;5.020e-01;3.692e-02;3.169e-02;4.962e-01,0.1147;0.1671;0.0519;0.5185;0.1455,0.1512;0.1614;0.1851;0.3538;0.1506,t|1e1.1o2|1e1.2o2|1e2.1o2|1e3.1o1|i,5,4,1;0;0;0;1,chr19,+,27793609-27805605;27793650-27805605;27794122-27805605;27798176-27805605;27801054-27805604,27793431-27793650;27793895-27794142;27797754-27798315;27805605-27805811,27801054-27805604,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A27805811-27793431
RP11-577H5.5,ENSG00000267645.5,ENSG00000267645.5:t:102643799-102643869,0.0592;0.1589;-0.0006;-0.2473,2.738e-01;8.277e-01;4.702e-03;9.402e-01,1.701e-01;1.150e-02;7.595e-01;2.088e-03,0.1635;0.0223;0.0316;0.7738,0.2527;0.1941;0.0297;0.5071,t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2,4,4,1;1;1;1,chr7,-,102643869-102665662;102643869-102645380;102643869-102644435;102643869-102644394,102643799-102643869;102644394-102644562;102645380-102645479;102665662-na,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A102665672-102643799
RP11-35G9.5,ENSG00000267787.7,ENSG00000267787.7:s:57641559-57642052,0.1345;0.0377;-0.0301;-0.1294,7.168e-01;1.841e-01;1.794e-01;5.814e-01,2.370e-02;2.458e-01;2.432e-01;4.109e-02,0.0029;0.1577;0.3399;0.5029,0.1620;0.2285;0.2801;0.3232,s|1e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1,4,5,1;1;0;1,chr18,+,57641633-57682100;57642052-57695945;57642052-57731414;57642052-57735151,57641559-57642052;57682100-na;57694253-57696036;57731414-57732023;57735151-57735592,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr18%3A57735592-57641559
CTC-471J1.8,ENSG00000267827.5,ENSG00000267827.5:s:52171336-52171533,0.1180;-0.1180,5.252e-01;5.252e-01,5.218e-02;5.218e-02,0.0640;0.9360,0.2122;0.7878,s|1e1.1o2|1e1.2o2,2,2,0;0,chr19,-,52169785-52171336;52169781-52171336,52169648-52169785;52171336-52171533,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A52171533-52169648
CTD-2291D10.4,ENSG00000267886.1,ENSG00000267886.1:s:23075201-23075387,-0.0823;0.1047;-0.0124,3.960e-01;4.944e-01;3.358e-02,9.953e-02;6.473e-02;5.445e-01,0.3686;0.5346;0.0858,0.2619;0.6777;0.0632,s|1e1.1o1|1e2.2o2|1e3.1o1,3,4,0;0;1,chr19,+,23075387-23095012;23075387-23098340;23075387-23100050,23075201-23075387;23095012-23095154;23098336-23098413;23100050-23100361,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A23100361-23075201
CTD-2291D10.4,ENSG00000267886.1,ENSG00000267886.1:s:23095012-23095154,0.1178;-0.1178,5.702e-01;5.702e-01,5.025e-02;5.025e-02,0.7886;0.2114,0.9321;0.0679,s|1e1.1o1|1e2.2o2,2,3,0;1,chr19,+,23095154-23095263;23095154-23098340,23095012-23095154;23095263-23095440;23098336-23098413,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A23098413-23095012
CTD-2291D10.4,ENSG00000267886.1,ENSG00000267886.1:t:23098336-23098413,-0.0130;0.1442;-0.0801;-0.0292;0.0285;0.0107;-0.0549,4.300e-02;6.905e-01;3.544e-01;9.459e-02;1.025e-01;7.027e-03;1.560e-01,5.013e-01;2.781e-02;1.286e-01;3.725e-01;3.593e-01;6.422e-01;2.734e-01,0.0944;0.3796;0.1195;0.1340;0.1429;0.0350;0.0923,0.0737;0.5531;0.0256;0.0799;0.1841;0.0521;0.0198,t|1e5.1o1|2e1.1o1|2e2.1o1|2e3.1o2|2e3.2o2|2e4.1o1|i,7,6,1;0;1;1;1;1;1,chr19,+,23096372-23098336;23075387-23098340;23095154-23098340;23095668-23098340;23095699-23098340;23096125-23098340;23095700-23098335,na-23096125;na-23096372;23075201-23075387;23095012-23095154;23095544-23095699;23098336-23098413,23095700-23098335,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A23098413-23075201
CTD-2207O23.12,ENSG00000267952.1,ENSG00000267952.1:s:7507052-7507141,0.1434;-0.1434,5.999e-01;5.999e-01,3.228e-02;3.228e-02,0.5611;0.4389,0.7502;0.2498,s|1e1.1o1|1e2.1o1,2,3,0;0,chr19,+,7507141-7513880;7507141-7519205,7507052-7507141;7513880-7514005;7519205-7519622,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A7519622-7507052
NBPF12,ENSG00000268043.7,ENSG00000268043.7:s:146943291-146943562,0.2009;-0.1097;-0.0208;-0.0402;0.0050,8.273e-01;5.421e-01;2.769e-02;2.427e-01;3.272e-03,9.224e-03;5.829e-02;5.391e-01;1.767e-01;8.187e-01,0.2657;0.2558;0.0599;0.4145;0.0019,0.5155;0.1132;0.0022;0.3443;0.0294,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i,5,4,1;1;1;0;1,chr1,+,146943562-146946555;146943562-146949324;146943562-146949392;146943562-146951348;146943563-146946554,146943291-146943562;146946555-146946607;146949314-146949422;146951348-146951489,146943563-146946554,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A146951489-146943291
NBPF12,ENSG00000268043.7,ENSG00000268043.7:s:146951348-146951489,-0.0246;0.2310;-0.1767,9.321e-02;9.052e-01;8.412e-01,3.743e-01;4.270e-03;9.891e-03,0.0845;0.6964;0.2151,0.0386;0.9559;0.0057,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chr1,+,146951489-146951814;146951489-146959859;146951489-146960109,146951348-146951489;146951814-146952037;146959859-146960011;146960109-146960318,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A146960318-146951348
NBPF12,ENSG00000268043.7,ENSG00000268043.7:s:146959859-146960011,0.1917;0.0000;-0.1930,8.309e-01;1.014e-06;8.349e-01,1.014e-02;9.990e-01;9.785e-03,0.6374;0.0029;0.3596,0.8509;0.0038;0.1452,s|1e1.1o1|1e2.1o2|2e1.1o1,3,3,0;0;0,chr1,+,146960006-146960109;146960006-146966464;146960011-146960109,146959859-146960011;146960109-146960318;146966464-146966673,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A146966673-146959859
NBPF12,ENSG00000268043.7,ENSG00000268043.7:s:146984813-146984985,-0.1417;0.1417,7.280e-01;7.280e-01,2.508e-02;2.508e-02,0.1943;0.8057,0.0257;0.9743,s|1e2.3o3|2e1.1o1,2,3,1;0,chr1,+,146984949-146989702;146984985-146985705,146984813-146984985;146985705-146985756;146989574-146989746,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A146989746-146984813
NBPF12,ENSG00000268043.7,ENSG00000268043.7:t:146960109-146960318,-0.0718;0.2669;-0.1536,2.825e-01;9.650e-01;7.289e-01,1.725e-01;1.016e-03;2.298e-02,0.1081;0.5738;0.3199,0.0038;0.8509;0.1452,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,1;0;0,chr1,+,146951489-146960109;146960006-146960109;146960011-146960109,146951348-146951489;146959859-146960011;146960109-146960318,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A146960318-146951348
CTD-2017D11.1,ENSG00000268362.6,ENSG00000268362.6:s:24046184-24046279,-0.0000;0.0011;0.0390;-0.1275;0.0292;0.0194;-0.0000,7.551e-08;2.041e-04;1.861e-01;5.961e-01;9.575e-02;5.531e-02;7.551e-08,9.998e-01;9.534e-01;2.464e-01;4.181e-02;3.662e-01;4.633e-01;9.998e-01,0.0014;0.0014;0.1469;0.7686;0.0298;0.0434;0.0014,0.0013;0.0143;0.2128;0.6136;0.0730;0.0765;0.0013,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e4.3o3|1e5.1o2,7,6,0;0;0;0;0;1;0,chr19,+,24046279-24047051;24046279-24047708;24046279-24048937;24046279-24049405;24046279-24049410;24046279-24049477;24046279-24063816,24046184-24046279;24047051-24047146;24047708-24047850;24048937-24049014;24049405-24049548;24063816-24063941,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A24063941-24046184
CTD-2017D11.1,ENSG00000268362.6,ENSG00000268362.6:t:24046184-24046279,0.1038;-0.0001;-0.0076;-0.0544,5.250e-01;1.425e-06;6.448e-03;1.741e-01,6.698e-02;9.965e-01;7.488e-01;2.572e-01,0.8601;0.0095;0.0404;0.0901,0.9813;0.0018;0.0085;0.0083,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,0;0;0;0,chr19,+,24033621-24046184;24034712-24046184;24036382-24046184;24042722-24046184,24033401-24033621;24034523-24034712;24036253-24036382;24042443-24042722;24046184-24046279,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A24046279-24033401
FBXO17,ENSG00000269190.6,ENSG00000269190.6:s:38975570-38975742,-0.0277;-0.0052;0.1522;-0.0713;0.0039,5.345e-03;3.035e-05;7.714e-01;3.458e-01;4.701e-03,5.517e-01;8.295e-01;1.888e-02;1.324e-01;6.706e-01,0.0596;0.0392;0.1313;0.7156;0.0482,0.0085;0.0140;0.2964;0.6270;0.0569,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e4.1o1,5,5,1;1;1;0;1,chr19,-,38966852-38975586;38953132-38975586;38951516-38975586;38950336-38975586;38950336-38975570,38949971-38950336;38951374-38951516;38953023-38953132;38966797-38966852;38975570-38975742,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A38975742-38949971
LINC01224,ENSG00000269416.6,ENSG00000269416.6:t:23403206-23403509,-0.0004;-0.0221;0.0072;-0.1352;0.0000;-0.0006;0.1843,3.163e-04;4.379e-02;1.445e-02;6.217e-01;9.578e-08;2.693e-05;8.017e-01,8.955e-01;4.771e-01;6.624e-01;3.669e-02;9.999e-01;9.756e-01;1.258e-02,0.0265;0.0756;0.0354;0.4798;0.0009;0.0142;0.3645,0.0219;0.0327;0.0400;0.3050;0.0014;0.0014;0.5844,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e1.1o2|2e1.2o2|2e3.1o1,7,4,1;0;0;0;0;1;0,chr19,-,23403509-23415904;23403509-23415894;23403509-23405258;23403509-23403720;23403493-23415904;23403493-23415894;23403493-23403720,23403206-23403509;23403720-23403747;23405258-23405335;23415894-23416075,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A23416075-23403206
ZIM2,ENSG00000269699.6,ENSG00000269699.6:t:56824262-56824741,-0.0016;-0.0841;-0.0205;0.1146,1.415e-02;4.149e-01;1.496e-01;5.500e-01,6.203e-01;1.040e-01;2.864e-01;5.392e-02,0.0586;0.1915;0.3554;0.4136,0.0557;0.0810;0.3041;0.5505,t|1e2.1o1|2e2.1o1|3e1.1o1|3e2.1o1,4,3,0;0;0;0,chr19,-,56824741-56826388;56824514-56826388;56824427-56836018;56824427-56826388,56824262-56824741;56826388-56826463;56836018-56836104,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A56836104-56824262
NBPF9,ENSG00000269713.7,ENSG00000269713.7:s:149090753-149090894,0.1123;-0.1123,5.747e-01;5.747e-01,5.483e-02;5.483e-02,0.3115;0.6885,0.4354;0.5646,s|1e1.1o1|1e2.1o1,2,3,0;0,chr1,-,149090428-149090753;149082430-149090753,149082272-149082430;149090205-149090428;149090753-149090894,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A149090894-149082272
NBPF9,ENSG00000269713.7,ENSG00000269713.7:t:149101262-149101384,0.1016;-0.0026;-0.0219;-0.0004;-0.0397,5.145e-01;1.844e-05;1.044e-01;1.447e-06;1.290e-01,6.943e-02;8.986e-01;3.577e-01;9.685e-01;3.052e-01,0.1922;0.0339;0.6300;0.0240;0.1119,0.3063;0.0168;0.6055;0.0144;0.0584,t|1e2.1o1|2e1.2o2|2e2.1o1|3e2.1o1|i,5,3,1;1;0;1;1,chr1,-,149101384-149102729;149101379-149103271;149101379-149102729;149101360-149102729;149101385-149102728,149101262-149101384;149102729-149102847;149103271-149103561,149101385-149102728,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A149103561-149101262
SLC25A53,ENSG00000269743.3,ENSG00000269743.3:s:104156878-104157009,-0.0008;0.1282;-0.0668;-0.0125,4.900e-02;6.612e-01;3.145e-01;1.640e-02,4.841e-01;3.691e-02;1.375e-01;6.439e-01,0.0857;0.0481;0.8156;0.0436,0.0959;0.1973;0.7140;0.0024,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2,4,5,1;1;0;0,chrX,-,104144591-104156878;104136861-104156878;104131223-104156878;104105288-104156878,na-104136861;104099214-104105288;104130604-104131223;104144506-104144591;104156878-104157009,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A104157009-104099214
SLC25A53,ENSG00000269743.3,ENSG00000269743.3:t:104130604-104131223,-0.1295;0.0485;0.0569,6.214e-01;1.691e-01;2.636e-01,4.033e-02;2.629e-01;1.801e-01,0.9181;0.0162;0.0626,0.7687;0.0935;0.1439,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;1;1,chrX,-,104131223-104156878;104131223-104144506;104131223-104131848,104130604-104131223;104131848-na;104144506-104144591;104156878-104157009,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A104157009-104130604
AC005614.5,ENSG00000269749.1,ENSG00000269749.1:s:40090736-40090925,0.2459;0.0003;-0.2559,9.076e-01;4.013e-05;9.226e-01,3.507e-03;9.854e-01;2.730e-03,0.3446;0.0032;0.6526,0.6001;0.0118;0.3816,s|1e1.1o1|2e1.1o1|i,3,2,0;1;1,chr19,-,40090235-40090906;40090235-40090736;40090236-40090735,40090166-40090235;40090736-40090925,40090236-40090735,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A40090925-40090166
ZNF528-AS1,ENSG00000269834.6,ENSG00000269834.6:s:52393865-52394855,-0.0699;0.1920;-0.1013,3.205e-01;8.079e-01;5.004e-01,1.500e-01;1.101e-02;6.729e-02,0.1442;0.5045;0.3626,0.0471;0.7238;0.2266,s|1e1.1o1|2e2.1o1|i,3,3,1;0;1,chr19,-,52392788-52394800;52389303-52394791;52391574-52393864,na-52392788;52388842-52391573;52393865-52394855,52391574-52393864,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A52394855-52388842
SNHG8,ENSG00000269893.8,ENSG00000269893.8:s:118278709-118278809,0.0000;0.0106;0.0000;0.0204;0.0427;0.0000;0.0000;-0.1154,6.903e-21;1.992e-03;6.901e-21;1.460e-20;1.579e-01;6.901e-21;6.902e-21;6.314e-01,9.998e-01;6.743e-01;1.000e+00;6.131e-01;2.756e-01;1.000e+00;1.000e+00;3.973e-02,0.0167;0.0753;0.0042;0.0299;0.3660;0.0009;0.0169;0.4885,0.0233;0.0959;0.0065;0.0522;0.4144;0.0068;0.0247;0.3731,s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|1e2.1o2|2e1.2o4|2e2.1o2|i,8,3,0;0;1;0;0;1;1;0,chr4,+,118278792-118278934;118278792-118278944;118278792-118278966;118278792-118279107;118278792-118279389;118278809-118278944;118278809-118279389;118278810-118278933,118278709-118278809;118278934-118279137;118279389-118279431,118278810-118278933,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A118279431-118278709
BIVM-ERCC5,ENSG00000270181.3,ENSG00000270181.3:s:102799110-102799521,-0.0025;0.1023;-0.0725;-0.0056;-0.0016,4.572e-02;4.973e-01;2.589e-01;5.883e-03;6.738e-02,4.950e-01;6.595e-02;1.900e-01;7.865e-01;4.343e-01,0.1433;0.5119;0.1010;0.0367;0.1905,0.1389;0.6532;0.0014;0.0126;0.1855,s|1e1.1o1|2e1.1o1|2e2.1o2|2e2.2o2|i,5,3,1;0;1;0;1,chr13,+,102799463-102805307;102799521-102805307;102799521-102807146;102799521-102807284;102799522-102805306,102799110-102799521;102805307-102805390;102807146-102807745,102799522-102805306,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A102807745-102799110
NBPF8,ENSG00000270231.4,ENSG00000270231.4:t:120425747-120425845,-0.0949;0.0205;0.1142;-0.0173,4.515e-01;8.353e-02;5.770e-01;9.993e-02,7.354e-02;3.930e-01;5.279e-02;3.622e-01,0.6453;0.0851;0.0333;0.2330,0.5144;0.1163;0.1598;0.1949,t|1e1.1o1|1e2.1o1|2e1.1o1|i,4,3,0;1;1;1,chr1,+,120420118-120425747;120423046-120425747;120420118-120425815;120420119-120425746,na-120423046;120419850-120420118;120425747-120425845,120420119-120425746,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A120425845-120419850
NBPF8,ENSG00000270231.4,ENSG00000270231.4:t:120427706-120427847,-0.1278;0.0898;0.0470;-0.0231,6.460e-01;4.406e-01;7.084e-02;6.043e-02,3.701e-02;9.076e-02;3.820e-01;4.449e-01,0.3881;0.4990;0.0091;0.0947,0.2503;0.6127;0.0807;0.0572,t|1e1.1o1|1e2.1o1|1e3.1o1|i,4,4,1;0;1;1,chr1,+,120420118-120427706;120425845-120427706;120427633-120427706;120427634-120427705,120419850-120420118;120425747-120425845;120427466-120427633;120427706-120427847,120427634-120427705,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A120427847-120419850
ARMCX5-GPRASP2,ENSG00000271147.8,ENSG00000271147.8:s:102599512-102599646,0.1081;-0.0332;0.0000;-0.0432,5.690e-01;9.128e-02;6.901e-21;1.521e-01,5.153e-02;3.671e-01;1.000e+00;2.819e-01,0.0786;0.1710;0.0008;0.7428,0.1976;0.1237;0.0008;0.6836,s|1e1.1o2|1e1.2o2|2e2.1o1|i,4,3,0;0;0;0,chrX,+,102599572-102599706;102599572-102599712;102599646-102602039;102599647-102599705,102599512-102599646;102599706-102599859;102602039-102602102,102599647-102599705,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A102602102-102599512
ARMCX5-GPRASP2,ENSG00000271147.8,ENSG00000271147.8:s:102599706-102599859,0.1264;-0.0028;-0.0024;-0.0497;-0.0244;0.0004;-0.0037,6.677e-01;2.170e-05;1.861e-02;1.926e-01;3.088e-02;6.627e-07;5.865e-05,3.652e-02;8.948e-01;6.067e-01;2.392e-01;5.048e-01;9.788e-01;8.689e-01,0.2866;0.0362;0.2173;0.3238;0.0810;0.0158;0.0320,0.4185;0.0175;0.2223;0.2574;0.0428;0.0213;0.0165,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e1.1o2|2e2.1o1|2e3.1o1,7,4,0;1;0;0;1;0;1,chrX,+,102599847-102600920;102599847-102600924;102599847-102601464;102599847-102605482;102599859-102600920;102599859-102601464;102599859-102605482,102599706-102599859;102600920-102601032;102601464-102601509;102605482-102605892,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A102605892-102599706
ARMCX5-GPRASP2,ENSG00000271147.8,ENSG00000271147.8:s:102605482-102605892,-0.0022;0.0001;-0.0710;-0.0077;0.1012,6.915e-05;7.522e-08;3.479e-01;1.367e-03;5.244e-01,9.140e-01;9.945e-01;1.313e-01;7.387e-01;6.771e-02,0.0314;0.0053;0.7584;0.0425;0.1560,0.0132;0.0132;0.6679;0.0271;0.2757,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,1;0;0;1;0,chrX,+,102605653-102625770;102605653-102637996;102605653-102639400;102605653-102649954;102605653-102713782,102605482-102605892;102625770-102625875;102637817-102638045;102639400-102640507;102649954-102650145;102713782-102713849,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A102713849-102605482
ANKRD34A,ENSG00000272031.3,ENSG00000272031.3:t:145959441-145961879,0.0120;-0.1341;0.0845,1.714e-02;6.229e-01;3.877e-01,6.478e-01;3.862e-02;1.083e-01,0.0035;0.9729;0.0237,0.0483;0.8141;0.1288,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr1,-,145961879-145962816;145961879-145962421;145961879-145962255,145959441-145961879;145962255-145962318;145962421-145962596;145962816-145962968,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A145962968-145959441
XXcos-LUCA11.5,ENSG00000272104.1,ENSG00000272104.1:s:50350892-50350984,0.1135;-0.1135,5.893e-01;5.893e-01,5.048e-02;5.048e-02,0.5568;0.4432,0.7036;0.2964,s|1e1.1o1|i,2,2,0;1,chr3,+,50350984-50351409;50350985-50351408,50350892-50350984;50351409-50351560,50350985-50351408,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50351560-50350892
CASC15,ENSG00000272168.8,ENSG00000272168.8:t:22173998-22174062,-0.0077;-0.0000;-0.0008;-0.0484;-0.0156;0.1062;0.0025,3.130e-02;6.681e-07;2.212e-04;2.236e-01;2.029e-02;4.957e-01;1.786e-03,5.484e-01;9.996e-01;9.653e-01;2.088e-01;5.994e-01;6.544e-02;7.890e-01,0.0731;0.0018;0.0128;0.2064;0.0587;0.6363;0.0255,0.0631;0.0008;0.0008;0.1285;0.0058;0.7667;0.0334,t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2,7,7,0;0;0;0;0;0;0,chr6,+,22110920-22173998;22113435-22173998;22114037-22173998;22147070-22173998;22147156-22173998;22147292-22173998;22147379-22173998,22110747-22111148;22113331-22113435;22113917-22114037;22146326-22147070;22147092-22147156;22147208-22147715;22173998-22174062,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A22174062-22110747
POM121C,ENSG00000272391.6,ENSG00000272391.6:s:75485864-75486299,-0.0068;0.0290;-0.1095;0.1039,7.585e-05;5.800e-02;5.681e-01;5.344e-01,7.964e-01;4.334e-01;5.665e-02;6.576e-02,0.0409;0.0619;0.4499;0.4405,0.0006;0.1083;0.3243;0.5658,s|1e1.3o3|2e1.1o3|2e1.2o3|2e2.1o1,4,3,1;1;1;0,chr7,-,75484256-75485971;75484319-75485864;75484300-75485864;75475188-75485864,75475062-75475188;75484198-75484328;75485864-75486299,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A75486299-75475062
FAM47E-STBD1,ENSG00000272414.6,ENSG00000272414.6:t:76263704-76263843,0.1664;-0.1664,6.779e-01;6.779e-01,2.230e-02;2.230e-02,0.4410;0.5590,0.6600;0.3400,t|1e1.1o1|1e2.1o1,2,3,0;0,chr4,+,76251820-76263704;76256523-76263704,76251721-76251820;76256178-76256523;76263704-76263843,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A76263843-76251721
U91328.19,ENSG00000272462.3,ENSG00000272462.3:s:25992641-25992918,-0.0002;0.1388;-0.1399,2.382e-04;6.758e-01;6.765e-01,9.780e-01;3.240e-02;3.190e-02,0.0081;0.0081;0.9838,0.0061;0.1921;0.8022,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr6,+,25992918-25993169;25992918-25993997;25992918-25997903,25992641-25992918;25993169-25993236;25993997-25994142;25997903-25998812,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A25998812-25992641
GTF2IP13,ENSG00000272556.2,ENSG00000272556.2:s:45805099-45805289,-0.1174;0.1174,4.818e-01;4.818e-01,4.801e-02;4.801e-02,0.5407;0.4593,0.3829;0.6171,s|1e1.1o1|1e2.1o1,2,3,1;0,chr7,+,45805289-45806913;45805289-45807340,45805099-45805289;45806913-na;45807340-45807397,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A45807397-45805099
RP11-155G14.5,ENSG00000272601.1,ENSG00000272601.1:t:128468845-128469171,-0.1546;0.1546,7.938e-01;7.938e-01,1.524e-02;1.524e-02,0.9691;0.0309,0.7999;0.2001,t|1e1.1o1|1e2.1o1,2,3,0;1,chr7,+,128466685-128468845;128467396-128468845,na-128467396;128466563-128466685;128468845-128469171,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A128469171-128466563
GTF2IP20,ENSG00000272645.3,ENSG00000272645.3:s:223954477-223954667,0.1078;-0.0289;-0.0225;-0.0317;0.0029,4.930e-01;1.577e-01;3.995e-02;9.523e-02;9.323e-02,6.183e-02;2.741e-01;5.027e-01;3.647e-01;3.808e-01,0.5244;0.2064;0.0615;0.0787;0.1289,0.6719;0.1619;0.0021;0.0322;0.1354,s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|1e2.1o1,5,3,1;1;1;0;1,chr1,-,223952870-223954477;223952867-223954477;223952812-223954477;223952442-223954477;223952291-223954477,223951394-223952291;223952385-223953439;223954477-223954667,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A223954667-223951394
RP11-479O9.4,ENSG00000272693.4,ENSG00000272693.4:t:65727055-65727108,0.0000;0.0630;0.0352;0.1288;-0.2965,1.044e-06;2.983e-01;1.374e-01;5.771e-01;9.464e-01,9.993e-01;1.410e-01;3.012e-01;4.198e-02;1.523e-03,0.0017;0.1190;0.0649;0.2538;0.5541,0.0024;0.2039;0.1215;0.4210;0.2431,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;1;1;1;1,chr7,-,65727108-65762931;65727108-65750883;65727108-65750393;65727108-65740872;65727108-65731568,65727055-65727108;65731568-na;65740872-65741121;65750393-na;65750883-na;65762931-65763017,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A65763017-65727055
STAG3L5P-PVRIG2P-PILRB,ENSG00000272752.6,ENSG00000272752.6:t:100355143-100355240,-0.0007;0.1072;-0.0015;-0.0394,2.789e-09;5.848e-01;3.792e-08;6.401e-03,9.696e-01;1.677e-02;9.391e-01;4.987e-01,0.0309;0.8636;0.0365;0.0667,0.0020;0.9716;0.0198;0.0072,t|1e1.1o1|1e2.1o1|1e3.1o1|i,4,4,0;0;1;1,chr7,+,100353483-100355143;100354012-100355143;100354617-100355143;100354618-100355142,100353373-100353483;100353861-100354012;100354564-100354617;100355143-100355240,100354618-100355142,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A100355240-100353373
